numero;fibonacci;Fib+1;fib+1-1
58;956722026041,000000;956722026042,000000;1,000000
59;1548008755920,000000;1548008755921,000000;1,000000
60;2504730781961,000000;2504730781962,000000;1,000000
61;4052739537881,000000;4052739537882,000000;1,000000
62;6557470319842,000000;6557470319843,000000;1,000000
63;10610209857723,000000;10610209857724,000000;1,000000
64;17167680177565,000000;17167680177566,000000;1,000000
65;27777890035288,000000;27777890035289,000000;1,000000
66;44945570212853,000000;44945570212854,000000;1,000000
67;72723460248141,000000;72723460248142,000000;1,000000
68;117669030460994,000000;117669030460995,000000;1,000000
69;190392490709135,000000;190392490709136,000000;1,000000
70;308061521170129,000000;308061521170130,000000;1,000000
71;498454011879264,000000;498454011879265,000000;1,000000
72;806515533049393,000000;806515533049394,000000;1,000000
73;1304969544928657,000000;1304969544928658,000000;1,000000
74;2111485077978050,000000;2111485077978051,000000;1,000000
75;3416454622906707,000000;3416454622906708,000000;1,000000
76;5527939700884757,000000;5527939700884758,000000;1,000000
77;8944394323791464,000000;8944394323791465,000000;1,000000
78;14472334024676220,000000;14472334024676220,000000;0,000000
79;23416728348467684,000000;23416728348467684,000000;0,000000
80;37889062373143904,000000;37889062373143904,000000;0,000000
81;61305790721611584,000000;61305790721611584,000000;0,000000
82;99194853094755488,000000;99194853094755488,000000;0,000000
83;160500643816367070,000000;160500643816367070,000000;0,000000
84;259695496911122560,000000;259695496911122560,000000;0,000000
85;420196140727489660,000000;420196140727489660,000000;0,000000
86;679891637638612220,000000;679891637638612220,000000;0,000000
87;1100087778366101900,000000;1100087778366101900,000000;0,000000
88;1779979416004714000,000000;1779979416004714000,000000;0,000000
89;2880067194370816000,000000;2880067194370816000,000000;0,000000
90;4660046610375530500,000000;4660046610375530500,000000;0,000000
91;7540113804746346500,000000;7540113804746346500,000000;0,000000
92;12200160415121877000,000000;12200160415121877000,000000;0,000000
93;19740274219868226000,000000;19740274219868226000,000000;0,000000
94;31940434634990100000,000000;31940434634990100000,000000;0,000000
95;51680708854858326000,000000;51680708854858326000,000000;0,000000
96;83621143489848426000,000000;83621143489848426000,000000;0,000000
97;135301852344706760000,000000;135301852344706760000,000000;0,000000
98;218922995834555200000,000000;218922995834555200000,000000;0,000000
99;354224848179262000000,000000;354224848179262000000,000000;0,000000
100;573147844013817200000,000000;573147844013817200000,000000;0,000000
101;927372692193079200000,000000;927372692193079200000,000000;0,000000
102;1500520536206896300000,000000;1500520536206896300000,000000;0,000000
103;2427893228399975500000,000000;2427893228399975500000,000000;0,000000
104;3928413764606871700000,000000;3928413764606871700000,000000;0,000000
105;6356306993006847700000,000000;6356306993006847700000,000000;0,000000
106;10284720757613720000000,000000;10284720757613720000000,000000;0,000000
107;16641027750620568000000,000000;16641027750620568000000,000000;0,000000
108;26925748508234288000000,000000;26925748508234288000000,000000;0,000000
109;43566776258854857000000,000000;43566776258854857000000,000000;0,000000
110;70492524767089141000000,000000;70492524767089141000000,000000;0,000000
111;114059301025944010000000,000000;114059301025944010000000,000000;0,000000
112;184551825793033150000000,000000;184551825793033150000000,000000;0,000000
113;298611126818977150000000,000000;298611126818977150000000,000000;0,000000
114;483162952612010300000000,000000;483162952612010300000000,000000;0,000000
115;781774079430987490000000,000000;781774079430987490000000,000000;0,000000
116;1264937032042997800000000,000000;1264937032042997800000000,000000;0,000000
117;2046711111473985100000000,000000;2046711111473985100000000,000000;0,000000
118;3311648143516982700000000,000000;3311648143516982700000000,000000;0,000000
119;5358359254990968400000000,000000;5358359254990968400000000,000000;0,000000
120;8670007398507951000000000,000000;8670007398507951000000000,000000;0,000000
121;14028366653498919000000000,000000;14028366653498919000000000,000000;0,000000
122;22698374052006868000000000,000000;22698374052006868000000000,000000;0,000000
123;36726740705505786000000000,000000;36726740705505786000000000,000000;0,000000
124;59425114757512654000000000,000000;59425114757512654000000000,000000;0,000000
125;96151855463018439000000000,000000;96151855463018439000000000,000000;0,000000
126;155576970220531080000000000,000000;155576970220531080000000000,000000;0,000000
127;251728825683549520000000000,000000;251728825683549520000000000,000000;0,000000
128;407305795904080640000000000,000000;407305795904080640000000000,000000;0,000000
129;659034621587630100000000000,000000;659034621587630100000000000,000000;0,000000
130;1066340417491710700000000000,000000;1066340417491710700000000000,000000;0,000000
131;1725375039079340800000000000,000000;1725375039079340800000000000,000000;0,000000
132;2791715456571051900000000000,000000;2791715456571051900000000000,000000;0,000000
133;4517090495650392700000000000,000000;4517090495650392700000000000,000000;0,000000
134;7308805952221445100000000000,000000;7308805952221445100000000000,000000;0,000000
135;11825896447871837000000000000,000000;11825896447871837000000000000,000000;0,000000
136;19134702400093282000000000000,000000;19134702400093282000000000000,000000;0,000000
137;30960598847965122000000000000,000000;30960598847965122000000000000,000000;0,000000
138;50095301248058406000000000000,000000;50095301248058406000000000000,000000;0,000000
139;81055900096023528000000000000,000000;81055900096023528000000000000,000000;0,000000
140;131151201344081930000000000000,000000;131151201344081930000000000000,000000;0,000000
141;212207101440105450000000000000,000000;212207101440105450000000000000,000000;0,000000
142;343358302784187340000000000000,000000;343358302784187340000000000000,000000;0,000000
143;555565404224292760000000000000,000000;555565404224292760000000000000,000000;0,000000
144;898923707008480110000000000000,000000;898923707008480110000000000000,000000;0,000000
145;1454489111232773000000000000000,000000;1454489111232773000000000000000,000000;0,000000
146;2353412818241253100000000000000,000000;2353412818241253100000000000000,000000;0,000000
147;3807901929474025800000000000000,000000;3807901929474025800000000000000,000000;0,000000
148;6161314747715278700000000000000,000000;6161314747715278700000000000000,000000;0,000000
149;9969216677189304500000000000000,000000;9969216677189304500000000000000,000000;0,000000
150;16130531424904583000000000000000,000000;16130531424904583000000000000000,000000;0,000000
151;26099748102093888000000000000000,000000;26099748102093888000000000000000,000000;0,000000
152;42230279526998473000000000000000,000000;42230279526998473000000000000000,000000;0,000000
153;68330027629092365000000000000000,000000;68330027629092365000000000000000,000000;0,000000
154;110560307156090850000000000000000,000000;110560307156090850000000000000000,000000;0,000000
155;178890334785183210000000000000000,000000;178890334785183210000000000000000,000000;0,000000
156;289450641941274060000000000000000,000000;289450641941274060000000000000000,000000;0,000000
157;468340976726457270000000000000000,000000;468340976726457270000000000000000,000000;0,000000
158;757791618667731330000000000000000,000000;757791618667731330000000000000000,000000;0,000000
159;1226132595394188700000000000000000,000000;1226132595394188700000000000000000,000000;0,000000
160;1983924214061920000000000000000000,000000;1983924214061920000000000000000000,000000;0,000000
161;3210056809456108700000000000000000,000000;3210056809456108700000000000000000,000000;0,000000
162;5193981023518028100000000000000000,000000;5193981023518028100000000000000000,000000;0,000000
163;8404037832974136800000000000000000,000000;8404037832974136800000000000000000,000000;0,000000
164;13598018856492165000000000000000000,000000;13598018856492165000000000000000000,000000;0,000000
165;22002056689466302000000000000000000,000000;22002056689466302000000000000000000,000000;0,000000
166;35600075545958467000000000000000000,000000;35600075545958467000000000000000000,000000;0,000000
167;57602132235424769000000000000000000,000000;57602132235424769000000000000000000,000000;0,000000
168;93202207781383226000000000000000000,000000;93202207781383226000000000000000000,000000;0,000000
169;150804340016807990000000000000000000,000000;150804340016807990000000000000000000,000000;0,000000
170;244006547798191220000000000000000000,000000;244006547798191220000000000000000000,000000;0,000000
171;394810887814999250000000000000000000,000000;394810887814999250000000000000000000,000000;0,000000
172;638817435613190510000000000000000000,000000;638817435613190510000000000000000000,000000;0,000000
173;1033628323428189800000000000000000000,000000;1033628323428189800000000000000000000,000000;0,000000
174;1672445759041380300000000000000000000,000000;1672445759041380300000000000000000000,000000;0,000000
175;2706074082469570000000000000000000000,000000;2706074082469570000000000000000000000,000000;0,000000
176;4378519841510950000000000000000000000,000000;4378519841510950000000000000000000000,000000;0,000000
177;7084593923980519500000000000000000000,000000;7084593923980519500000000000000000000,000000;0,000000
178;11463113765491469000000000000000000000,000000;11463113765491469000000000000000000000,000000;0,000000
179;18547707689471989000000000000000000000,000000;18547707689471989000000000000000000000,000000;0,000000
180;30010821454963458000000000000000000000,000000;30010821454963458000000000000000000000,000000;0,000000
181;48558529144435443000000000000000000000,000000;48558529144435443000000000000000000000,000000;0,000000
182;78569350599398901000000000000000000000,000000;78569350599398901000000000000000000000,000000;0,000000
183;127127879743834340000000000000000000000,000000;127127879743834340000000000000000000000,000000;0,000000
184;205697230343233240000000000000000000000,000000;205697230343233240000000000000000000000,000000;0,000000
185;332825110087067590000000000000000000000,000000;332825110087067590000000000000000000000,000000;0,000000
186;538522340430300870000000000000000000000,000000;538522340430300870000000000000000000000,000000;0,000000
187;871347450517368380000000000000000000000,000000;871347450517368380000000000000000000000,000000;0,000000
188;1409869790947669100000000000000000000000,000000;1409869790947669100000000000000000000000,000000;0,000000
189;2281217241465037500000000000000000000000,000000;2281217241465037500000000000000000000000,000000;0,000000
190;3691087032412706900000000000000000000000,000000;3691087032412706900000000000000000000000,000000;0,000000
191;5972304273877744700000000000000000000000,000000;5972304273877744700000000000000000000000,000000;0,000000
192;9663391306290451600000000000000000000000,000000;9663391306290451600000000000000000000000,000000;0,000000
193;15635695580168196000000000000000000000000,000000;15635695580168196000000000000000000000000,000000;0,000000
194;25299086886458650000000000000000000000000,000000;25299086886458650000000000000000000000000,000000;0,000000
195;40934782466626846000000000000000000000000,000000;40934782466626846000000000000000000000000,000000;0,000000
196;66233869353085492000000000000000000000000,000000;66233869353085492000000000000000000000000,000000;0,000000
197;107168651819712330000000000000000000000000,000000;107168651819712330000000000000000000000000,000000;0,000000
198;173402521172797830000000000000000000000000,000000;173402521172797830000000000000000000000000,000000;0,000000
199;280571172992510160000000000000000000000000,000000;280571172992510160000000000000000000000000,000000;0,000000
200;453973694165307960000000000000000000000000,000000;453973694165307960000000000000000000000000,000000;0,000000
201;734544867157818050000000000000000000000000,000000;734544867157818050000000000000000000000000,000000;0,000000
202;1188518561323126000000000000000000000000000,000000;1188518561323126000000000000000000000000000,000000;0,000000
203;1923063428480943900000000000000000000000000,000000;1923063428480943900000000000000000000000000,000000;0,000000
204;3111581989804070100000000000000000000000000,000000;3111581989804070100000000000000000000000000,000000;0,000000
205;5034645418285014000000000000000000000000000,000000;5034645418285014000000000000000000000000000,000000;0,000000
206;8146227408089083400000000000000000000000000,000000;8146227408089083400000000000000000000000000,000000;0,000000
207;13180872826374099000000000000000000000000000,000000;13180872826374099000000000000000000000000000,000000;0,000000
208;21327100234463182000000000000000000000000000,000000;21327100234463182000000000000000000000000000,000000;0,000000
209;34507973060837281000000000000000000000000000,000000;34507973060837281000000000000000000000000000,000000;0,000000
210;55835073295300463000000000000000000000000000,000000;55835073295300463000000000000000000000000000,000000;0,000000
211;90343046356137748000000000000000000000000000,000000;90343046356137748000000000000000000000000000,000000;0,000000
212;146178119651438210000000000000000000000000000,000000;146178119651438210000000000000000000000000000,000000;0,000000
213;236521166007575940000000000000000000000000000,000000;236521166007575940000000000000000000000000000,000000;0,000000
214;382699285659014170000000000000000000000000000,000000;382699285659014170000000000000000000000000000,000000;0,000000
215;619220451666590110000000000000000000000000000,000000;619220451666590110000000000000000000000000000,000000;0,000000
216;1001919737325604200000000000000000000000000000,000000;1001919737325604200000000000000000000000000000,000000;0,000000
217;1621140188992194200000000000000000000000000000,000000;1621140188992194200000000000000000000000000000,000000;0,000000
218;2623059926317798400000000000000000000000000000,000000;2623059926317798400000000000000000000000000000,000000;0,000000
219;4244200115309992700000000000000000000000000000,000000;4244200115309992700000000000000000000000000000,000000;0,000000
220;6867260041627790500000000000000000000000000000,000000;6867260041627790500000000000000000000000000000,000000;0,000000
221;11111460156937784000000000000000000000000000000,000000;11111460156937784000000000000000000000000000000,000000;0,000000
222;17978720198565574000000000000000000000000000000,000000;17978720198565574000000000000000000000000000000,000000;0,000000
223;29090180355503355000000000000000000000000000000,000000;29090180355503355000000000000000000000000000000,000000;0,000000
224;47068900554068930000000000000000000000000000000,000000;47068900554068930000000000000000000000000000000,000000;0,000000
225;76159080909572285000000000000000000000000000000,000000;76159080909572285000000000000000000000000000000,000000;0,000000
226;123227981463641220000000000000000000000000000000,000000;123227981463641220000000000000000000000000000000,000000;0,000000
227;199387062373213510000000000000000000000000000000,000000;199387062373213510000000000000000000000000000000,000000;0,000000
228;322615043836854740000000000000000000000000000000,000000;322615043836854740000000000000000000000000000000,000000;0,000000
229;522002106210068250000000000000000000000000000000,000000;522002106210068250000000000000000000000000000000,000000;0,000000
230;844617150046922940000000000000000000000000000000,000000;844617150046922940000000000000000000000000000000,000000;0,000000
231;1366619256256991100000000000000000000000000000000,000000;1366619256256991100000000000000000000000000000000,000000;0,000000
232;2211236406303914200000000000000000000000000000000,000000;2211236406303914200000000000000000000000000000000,000000;0,000000
233;3577855662560905300000000000000000000000000000000,000000;3577855662560905300000000000000000000000000000000,000000;0,000000
234;5789092068864819500000000000000000000000000000000,000000;5789092068864819500000000000000000000000000000000,000000;0,000000
235;9366947731425724200000000000000000000000000000000,000000;9366947731425724200000000000000000000000000000000,000000;0,000000
236;15156039800290544000000000000000000000000000000000,000000;15156039800290544000000000000000000000000000000000,000000;0,000000
237;24522987531716268000000000000000000000000000000000,000000;24522987531716268000000000000000000000000000000000,000000;0,000000
238;39679027332006812000000000000000000000000000000000,000000;39679027332006812000000000000000000000000000000000,000000;0,000000
239;64202014863723079000000000000000000000000000000000,000000;64202014863723079000000000000000000000000000000000,000000;0,000000
240;103881042195729890000000000000000000000000000000000,000000;103881042195729890000000000000000000000000000000000,000000;0,000000
241;168083057059452970000000000000000000000000000000000,000000;168083057059452970000000000000000000000000000000000,000000;0,000000
242;271964099255182870000000000000000000000000000000000,000000;271964099255182870000000000000000000000000000000000,000000;0,000000
243;440047156314635820000000000000000000000000000000000,000000;440047156314635820000000000000000000000000000000000,000000;0,000000
244;712011255569818690000000000000000000000000000000000,000000;712011255569818690000000000000000000000000000000000,000000;0,000000
245;1152058411884454400000000000000000000000000000000000,000000;1152058411884454400000000000000000000000000000000000,000000;0,000000
246;1864069667454273100000000000000000000000000000000000,000000;1864069667454273100000000000000000000000000000000000,000000;0,000000
247;3016128079338727200000000000000000000000000000000000,000000;3016128079338727200000000000000000000000000000000000,000000;0,000000
248;4880197746793000300000000000000000000000000000000000,000000;4880197746793000300000000000000000000000000000000000,000000;0,000000
249;7896325826131727500000000000000000000000000000000000,000000;7896325826131727500000000000000000000000000000000000,000000;0,000000
250;12776523572924728000000000000000000000000000000000000,000000;12776523572924728000000000000000000000000000000000000,000000;0,000000
251;20672849399056455000000000000000000000000000000000000,000000;20672849399056455000000000000000000000000000000000000,000000;0,000000
252;33449372971981180000000000000000000000000000000000000,000000;33449372971981180000000000000000000000000000000000000,000000;0,000000
253;54122222371037638000000000000000000000000000000000000,000000;54122222371037638000000000000000000000000000000000000,000000;0,000000
254;87571595343018819000000000000000000000000000000000000,000000;87571595343018819000000000000000000000000000000000000,000000;0,000000
255;141693817714056470000000000000000000000000000000000000,000000;141693817714056470000000000000000000000000000000000000,000000;0,000000
256;229265413057075280000000000000000000000000000000000000,000000;229265413057075280000000000000000000000000000000000000,000000;0,000000
257;370959230771131740000000000000000000000000000000000000,000000;370959230771131740000000000000000000000000000000000000,000000;0,000000
258;600224643828207060000000000000000000000000000000000000,000000;600224643828207060000000000000000000000000000000000000,000000;0,000000
259;971183874599338760000000000000000000000000000000000000,000000;971183874599338760000000000000000000000000000000000000,000000;0,000000
260;1571408518427546000000000000000000000000000000000000000,000000;1571408518427546000000000000000000000000000000000000000,000000;0,000000
261;2542592393026884800000000000000000000000000000000000000,000000;2542592393026884800000000000000000000000000000000000000,000000;0,000000
262;4114000911454431100000000000000000000000000000000000000,000000;4114000911454431100000000000000000000000000000000000000,000000;0,000000
263;6656593304481315500000000000000000000000000000000000000,000000;6656593304481315500000000000000000000000000000000000000,000000;0,000000
264;10770594215935747000000000000000000000000000000000000000,000000;10770594215935747000000000000000000000000000000000000000,000000;0,000000
265;17427187520417062000000000000000000000000000000000000000,000000;17427187520417062000000000000000000000000000000000000000,000000;0,000000
266;28197781736352807000000000000000000000000000000000000000,000000;28197781736352807000000000000000000000000000000000000000,000000;0,000000
267;45624969256769870000000000000000000000000000000000000000,000000;45624969256769870000000000000000000000000000000000000000,000000;0,000000
268;73822750993122682000000000000000000000000000000000000000,000000;73822750993122682000000000000000000000000000000000000000,000000;0,000000
269;119447720249892550000000000000000000000000000000000000000,000000;119447720249892550000000000000000000000000000000000000000,000000;0,000000
270;193270471243015230000000000000000000000000000000000000000,000000;193270471243015230000000000000000000000000000000000000000,000000;0,000000
271;312718191492907780000000000000000000000000000000000000000,000000;312718191492907780000000000000000000000000000000000000000,000000;0,000000
272;505988662735923000000000000000000000000000000000000000000,000000;505988662735923000000000000000000000000000000000000000000,000000;0,000000
273;818706854228830820000000000000000000000000000000000000000,000000;818706854228830820000000000000000000000000000000000000000,000000;0,000000
274;1324695516964753800000000000000000000000000000000000000000,000000;1324695516964753800000000000000000000000000000000000000000,000000;0,000000
275;2143402371193584700000000000000000000000000000000000000000,000000;2143402371193584700000000000000000000000000000000000000000,000000;0,000000
276;3468097888158338500000000000000000000000000000000000000000,000000;3468097888158338500000000000000000000000000000000000000000,000000;0,000000
277;5611500259351922800000000000000000000000000000000000000000,000000;5611500259351922800000000000000000000000000000000000000000,000000;0,000000
278;9079598147510260600000000000000000000000000000000000000000,000000;9079598147510260600000000000000000000000000000000000000000,000000;0,000000
279;14691098406862182000000000000000000000000000000000000000000,000000;14691098406862182000000000000000000000000000000000000000000,000000;0,000000
280;23770696554372443000000000000000000000000000000000000000000,000000;23770696554372443000000000000000000000000000000000000000000,000000;0,000000
281;38461794961234622000000000000000000000000000000000000000000,000000;38461794961234622000000000000000000000000000000000000000000,000000;0,000000
282;62232491515607067000000000000000000000000000000000000000000,000000;62232491515607067000000000000000000000000000000000000000000,000000;0,000000
283;100694286476841680000000000000000000000000000000000000000000,000000;100694286476841680000000000000000000000000000000000000000000,000000;0,000000
284;162926777992448730000000000000000000000000000000000000000000,000000;162926777992448730000000000000000000000000000000000000000000,000000;0,000000
285;263621064469290410000000000000000000000000000000000000000000,000000;263621064469290410000000000000000000000000000000000000000000,000000;0,000000
286;426547842461739100000000000000000000000000000000000000000000,000000;426547842461739100000000000000000000000000000000000000000000,000000;0,000000
287;690168906931029510000000000000000000000000000000000000000000,000000;690168906931029510000000000000000000000000000000000000000000,000000;0,000000
288;1116716749392768600000000000000000000000000000000000000000000,000000;1116716749392768600000000000000000000000000000000000000000000,000000;0,000000
289;1806885656323798100000000000000000000000000000000000000000000,000000;1806885656323798100000000000000000000000000000000000000000000,000000;0,000000
290;2923602405716566900000000000000000000000000000000000000000000,000000;2923602405716566900000000000000000000000000000000000000000000,000000;0,000000
291;4730488062040365400000000000000000000000000000000000000000000,000000;4730488062040365400000000000000000000000000000000000000000000,000000;0,000000
292;7654090467756932300000000000000000000000000000000000000000000,000000;7654090467756932300000000000000000000000000000000000000000000,000000;0,000000
293;12384578529797298000000000000000000000000000000000000000000000,000000;12384578529797298000000000000000000000000000000000000000000000,000000;0,000000
294;20038668997554230000000000000000000000000000000000000000000000,000000;20038668997554230000000000000000000000000000000000000000000000,000000;0,000000
295;32423247527351529000000000000000000000000000000000000000000000,000000;32423247527351529000000000000000000000000000000000000000000000,000000;0,000000
296;52461916524905759000000000000000000000000000000000000000000000,000000;52461916524905759000000000000000000000000000000000000000000000,000000;0,000000
297;84885164052257288000000000000000000000000000000000000000000000,000000;84885164052257288000000000000000000000000000000000000000000000,000000;0,000000
298;137347080577163050000000000000000000000000000000000000000000000,000000;137347080577163050000000000000000000000000000000000000000000000,000000;0,000000
299;222232244629420350000000000000000000000000000000000000000000000,000000;222232244629420350000000000000000000000000000000000000000000000,000000;0,000000
300;359579325206583370000000000000000000000000000000000000000000000,000000;359579325206583370000000000000000000000000000000000000000000000,000000;0,000000
301;581811569836003720000000000000000000000000000000000000000000000,000000;581811569836003720000000000000000000000000000000000000000000000,000000;0,000000
302;941390895042587000000000000000000000000000000000000000000000000,000000;941390895042587000000000000000000000000000000000000000000000000,000000;0,000000
303;1523202464878590700000000000000000000000000000000000000000000000,000000;1523202464878590700000000000000000000000000000000000000000000000,000000;0,000000
304;2464593359921177700000000000000000000000000000000000000000000000,000000;2464593359921177700000000000000000000000000000000000000000000000,000000;0,000000
305;3987795824799768100000000000000000000000000000000000000000000000,000000;3987795824799768100000000000000000000000000000000000000000000000,000000;0,000000
306;6452389184720945800000000000000000000000000000000000000000000000,000000;6452389184720945800000000000000000000000000000000000000000000000,000000;0,000000
307;10440185009520713000000000000000000000000000000000000000000000000,000000;10440185009520713000000000000000000000000000000000000000000000000,000000;0,000000
308;16892574194241658000000000000000000000000000000000000000000000000,000000;16892574194241658000000000000000000000000000000000000000000000000,000000;0,000000
309;27332759203762368000000000000000000000000000000000000000000000000,000000;27332759203762368000000000000000000000000000000000000000000000000,000000;0,000000
310;44225333398004029000000000000000000000000000000000000000000000000,000000;44225333398004029000000000000000000000000000000000000000000000000,000000;0,000000
311;71558092601766398000000000000000000000000000000000000000000000000,000000;71558092601766398000000000000000000000000000000000000000000000000,000000;0,000000
312;115783425999770440000000000000000000000000000000000000000000000000,000000;115783425999770440000000000000000000000000000000000000000000000000,000000;0,000000
313;187341518601536830000000000000000000000000000000000000000000000000,000000;187341518601536830000000000000000000000000000000000000000000000000,000000;0,000000
314;303124944601307260000000000000000000000000000000000000000000000000,000000;303124944601307260000000000000000000000000000000000000000000000000,000000;0,000000
315;490466463202844040000000000000000000000000000000000000000000000000,000000;490466463202844040000000000000000000000000000000000000000000000000,000000;0,000000
316;793591407804151350000000000000000000000000000000000000000000000000,000000;793591407804151350000000000000000000000000000000000000000000000000,000000;0,000000
317;1284057871006995400000000000000000000000000000000000000000000000000,000000;1284057871006995400000000000000000000000000000000000000000000000000,000000;0,000000
318;2077649278811146700000000000000000000000000000000000000000000000000,000000;2077649278811146700000000000000000000000000000000000000000000000000,000000;0,000000
319;3361707149818142100000000000000000000000000000000000000000000000000,000000;3361707149818142100000000000000000000000000000000000000000000000000,000000;0,000000
320;5439356428629288900000000000000000000000000000000000000000000000000,000000;5439356428629288900000000000000000000000000000000000000000000000000,000000;0,000000
321;8801063578447431800000000000000000000000000000000000000000000000000,000000;8801063578447431800000000000000000000000000000000000000000000000000,000000;0,000000
322;14240420007076720000000000000000000000000000000000000000000000000000,000000;14240420007076720000000000000000000000000000000000000000000000000000,000000;0,000000
323;23041483585524152000000000000000000000000000000000000000000000000000,000000;23041483585524152000000000000000000000000000000000000000000000000000,000000;0,000000
324;37281903592600872000000000000000000000000000000000000000000000000000,000000;37281903592600872000000000000000000000000000000000000000000000000000,000000;0,000000
325;60323387178125026000000000000000000000000000000000000000000000000000,000000;60323387178125026000000000000000000000000000000000000000000000000000,000000;0,000000
326;97605290770725892000000000000000000000000000000000000000000000000000,000000;97605290770725892000000000000000000000000000000000000000000000000000,000000;0,000000
327;157928677948850910000000000000000000000000000000000000000000000000000,000000;157928677948850910000000000000000000000000000000000000000000000000000,000000;0,000000
328;255533968719576800000000000000000000000000000000000000000000000000000,000000;255533968719576800000000000000000000000000000000000000000000000000000,000000;0,000000
329;413462646668427700000000000000000000000000000000000000000000000000000,000000;413462646668427700000000000000000000000000000000000000000000000000000,000000;0,000000
330;668996615388004500000000000000000000000000000000000000000000000000000,000000;668996615388004500000000000000000000000000000000000000000000000000000,000000;0,000000
331;1082459262056432200000000000000000000000000000000000000000000000000000,000000;1082459262056432200000000000000000000000000000000000000000000000000000,000000;0,000000
332;1751455877444436900000000000000000000000000000000000000000000000000000,000000;1751455877444436900000000000000000000000000000000000000000000000000000,000000;0,000000
333;2833915139500869000000000000000000000000000000000000000000000000000000,000000;2833915139500869000000000000000000000000000000000000000000000000000000,000000;0,000000
334;4585371016945305500000000000000000000000000000000000000000000000000000,000000;4585371016945305500000000000000000000000000000000000000000000000000000,000000;0,000000
335;7419286156446174100000000000000000000000000000000000000000000000000000,000000;7419286156446174100000000000000000000000000000000000000000000000000000,000000;0,000000
336;12004657173391480000000000000000000000000000000000000000000000000000000,000000;12004657173391480000000000000000000000000000000000000000000000000000000,000000;0,000000
337;19423943329837654000000000000000000000000000000000000000000000000000000,000000;19423943329837654000000000000000000000000000000000000000000000000000000,000000;0,000000
338;31428600503229136000000000000000000000000000000000000000000000000000000,000000;31428600503229136000000000000000000000000000000000000000000000000000000,000000;0,000000
339;50852543833066787000000000000000000000000000000000000000000000000000000,000000;50852543833066787000000000000000000000000000000000000000000000000000000,000000;0,000000
340;82281144336295923000000000000000000000000000000000000000000000000000000,000000;82281144336295923000000000000000000000000000000000000000000000000000000,000000;0,000000
341;133133688169362710000000000000000000000000000000000000000000000000000000,000000;133133688169362710000000000000000000000000000000000000000000000000000000,000000;0,000000
342;215414832505658620000000000000000000000000000000000000000000000000000000,000000;215414832505658620000000000000000000000000000000000000000000000000000000,000000;0,000000
343;348548520675021310000000000000000000000000000000000000000000000000000000,000000;348548520675021310000000000000000000000000000000000000000000000000000000,000000;0,000000
344;563963353180679980000000000000000000000000000000000000000000000000000000,000000;563963353180679980000000000000000000000000000000000000000000000000000000,000000;0,000000
345;912511873855701290000000000000000000000000000000000000000000000000000000,000000;912511873855701290000000000000000000000000000000000000000000000000000000,000000;0,000000
346;1476475227036381300000000000000000000000000000000000000000000000000000000,000000;1476475227036381300000000000000000000000000000000000000000000000000000000,000000;0,000000
347;2388987100892082500000000000000000000000000000000000000000000000000000000,000000;2388987100892082500000000000000000000000000000000000000000000000000000000,000000;0,000000
